section|content
SOCIO-ECONOMIC|TRANSFORMATION FOR IMPROVED LIVELIHOODS” Ministry of Finance and National Planning EIGHTH NATIONAL DEVELOPMENT PLAN “
Socio-economic|Transformation for Improved Livelihoods” EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 The past few years have tested the resolve of people around the world. The COVID-19 pandemic has adversely affected supply chains and economic activity, as well as the general wellbeing of millions of people. Zambia has not been spared and these challenges have been compounded by high debt levels, the result of which has been low growth and narrowing of resources for developmental programmes. With the enormous challenges thereof, we must as a nation ensure that we attain and make national development the main priority in the widest sense of the term. National development must go beyond growing the economy by ensuring that the Zambian people are at the centre of everything in order to transform their livelihoods, hence the theme of the Eighth National Development Plan (8NDP), “Socio- economic Transformation for Improved Livelihoods”. Even before we go into implementation of the Plan, we have already set off measures to stabilise the economy and restore growth, with full alignment to the 8NDP. The Plan has been designed to unlock the country’s immense prospects in all sectors of the economy for sustainable, holistic and inclusive national development with the aim of returning the country to the trajectory of its 2030 Vision of becoming a prosperous middle-income nation. I am confident that through the four strategic development areas identified in the Plan, namely, Economic Transformation and Job Creation, Human and Social Development, Environmental Sustainability, and Good
Governance|Environment, we will address the economic and social ills besetting our country. Additionally, through its robust monitoring and evaluation framework, as well as well-defined roles for all stakeholders, the Plan will respond adequately to the concerns of Zambians for a focus on results.
Socio-economic|transformation for improved livelihoods I call upon all Zambians to make this 8NDP their own, to seriously interrogate themselves on how best they can contribute to its realisation and equally important, to hold the Government to account when things are not done in the right manner, in a constructive and positive spirit of nation-building. This is in line with our national principles and values. Finally, I look forward to strengthened collaboration and partnership from all stakeholders as we move from Plan formulation to implementation. Mr. Hakainde Hichilema PRESIDENT OF THE REPUBLIC OF ZAMBIA EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 The Eighth National Development Plan is a nationally owned and comprehensive document that was formulated through a highly consultative and participatory process, involving stakeholders across all sectors. The consultations with various stakeholders were undertaken at all levels to develop consensus and establish ownership. I owe a special debt of gratitude to the Cabinet under the leadership of His Excellency, the President of the Republic of Zambia, Mr Hakainde Hichilema, who provided valuable guidance in terms of strategic direction and focus. I would like to express my deepest appreciation and special thanks to all Zambians from all walks of life for their substantial conceptual contributions to the formulation process of the Plan. These include all ministries; provinces and districts; spending agencies; private sector institutions and civil society organisations; as well as all media persons and institutions for the awareness-raising and information dissemination critical to this process. This made the task less difficult to accomplish. To the consultants, it gives me a sense of pleasure to acknowledge your invaluable contribution for your diligent work in shaping this document. Special thanks are also extended to the cooperating and development partners for their unwavering financial and technical support. Lastly, but not the least, I would like to extend my sincere gratitude to all members of staff in the Ministry of Finance and National Planning who participated in formulating this Plan by providing extensive personal and professional guidance. Hon. Dr. Situmbeko Musokotwane, MP MINISTER OF FINANCE AND NATIONAL PLANNING
Socio-economic|transformation for improved livelihoods ABBREVIATIONS AND ACRONYMS PART I: DEVELOPMENT CONTEXT 1.1 THE DEVELOPMENT APPROACH 1.2 OUTLINE OF THE PLAN 2.2 ECONOMIC PERFORMANCE 2.2.1 Economic Growth 2.2.2. Fiscal Performance 2.2.4. Monetary and Financial Sector Performance 2.2.5 External Sector Performance 2.2.3 Gross international reserves (GIRs) steadily increased between 2006 and 2014 2.2.6. Employment and Job Creation 2.3. HUMAN AND SOCIAL DEVELOPMENT 2.3.1 Population Dynamics 2.3.2 Poverty and Inequality 2.3.3
Education|and Skills Development 2.3.4
Health|and Nutrition 2.3.5 Water and Sanitation 2.3.6
Governance|Environment 2.4 KEY LESSONS LEARNT PART III:
MACROECONOMIC|POLICY FRAMEWORK 3.
MACROECONOMIC|POLICY OBJECTIVES 3.1
MACROECONOMIC|OBJECTIVES AND POLICIES 3.2
MACROECONOMIC|POLICIES 3.2.1 Achieving Higher and
Inclusive Growth|3.2.2 Fiscal Policy and Reforms 3.2.3 Debt Management
Strategy|3.2.4 Dismantling of Domestic Arrears 3.2.5 Monetary and Financial Sector Policies 3.2.6 External Sector Policies 3.3 KEY REFORMS TO SUPPORT THE
MACROECONOMIC|OBJECTIVES EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 PART III: 8NDP TOWARDS THE NATIONAL VISION 4.0 TOWARDS THE VISION 2030 4.1. OVERVIEW OF THE VISION 2030 4.2 MOVING TOWARDS THE VISION 2030: WHAT IT WILL TAKE PART IV: THE STRATEGIC DEVELOPMENT AREAS OF THE 8NDP 5. STRATEGIC DEVELOPMENT AREA 1: ECONOMIC TRANSFORMATION AND JOB 5.2 CURRENT SITUATION 5.4
DEVELOPMENT OUTCOME|1: AN INDUSTRIALISED AND DIVERSIFIED ECONOMY 5.5.
DEVELOPMENT OUTCOME|2: ENHANCED CITIZENRY PARTICIPATION IN THE 5.6.
DEVELOPMENT OUTCOME|3: A COMPETITIVE PRIVATE SECTOR 6.0 STRATEGIC DEVELOPMENT AREA 2: HUMAN AND SOCIAL DEVELOPMENT 6.2. CURRENT SITUATION 6.4
DEVELOPMENT OUTCOME|1: IMPROVED
EDUCATION|AND SKILLS 6.5
DEVELOPMENT OUTCOME|2: IMPROVED
HEALTH|, FOOD AND NUTRITION 6.6. 6
DEVELOPMENT OUTCOME|3: IMPROVED
WATER SUPPLY|AND SANITATION 6.7
DEVELOPMENT OUTCOME|4: REDUCED POVERTY, VULNERABILITY AND 7. STRATEGIC DEVELOPMENT AREA 3: ENVIRONMENTAL SUSTAINABILITY 7.2 CURRENT SITUATION 7.4
DEVELOPMENT OUTCOME|1: ENHANCED MITIGATION AND ADAPTATION TO 7.5
DEVELOPMENT OUTCOME|2: SUSTAINABLE ENVIRONMENT AND NATURAL 8. STRATEGIC DEVELOPMENT AREA 4: GOOD
GOVERNANCE|ENVIRONMENT 8.2 CURRENT SITUATION 8.4
DEVELOPMENT OUTCOME|1: IMPROVED POLICY AND
Socio-economic|transformation for improved livelihoods 8.5.
DEVELOPMENT OUTCOME|2: IMPROVED RULE OF LAW, HUMAN RIGHTS AND PART V: MANAGEMENT OF THE PLAN 9. IMPLEMENTATION AND COORDINATION FRAMEWORK 9.2 INSTITUTIONAL ARRANGEMENTS 9.2.1 National Assembly 9.2.4 Office of the Auditor-General 9.2.5 Ministry Responsible for Finance and National Planning 9.2.6 Ministry of Local Government and Rural Development 9.2.7 House of Chiefs 9.2.8 Ministries, Provinces and other Spending Agencies 9.2.9 State-Owned Enterprises 9.2.10 Private Sector 9.2.11 Civil Society Organisations 9.2.12 Cooperating and Development Partners 9.3 COORDINATION AND ADVISORY STRUCTURES 9.3.1 National Level Coordination and Implementation 9.3.2 Sectoral Level Coordination and Implementation 9.3.3 Provincial Level Coordination and Implementation 9.3.4 District Level Coordination and Implementation 9.3.5 Ward Development Committees 10. MONITORING AND EVALUATION FRAMEWORK 10.2.1 Management Monitoring System 10.2.2 Spot Monitoring 10.2.3 Annual Progress Report 10.3.1 Mid-Term Review 10.3.2 Final Evaluation PART VI: FINANCING OF THE PLAN 11. FINANCING THE 8NDP 11.2 TRADITIONAL SOURCES OF FINANCE 11.2.1 Domestic Revenues (Tax and Non-Tax Revenues) 11.2.2 External Grants EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 11.2.3 Domestic and External Financing 11.2.4 Resource Envelope 11.3. ALTERNATIVE SOURCES OF FINANCE 11.4 INTEGRATED NATIONAL FINANCING FRAMEWORK 12.0 PRECONDITIONS AND RISK MANAGEMENT 12.1.1. Preconditions 12.2.2 Stabilisation of the
Macroeconomic|Fundamentals 12.2.3 Effective Management of Pandemics 12.2.4 Effective Accountability Frameworks 12.2.5 Climate change management ANNEX 1: SAMPLE – DETAILED IMPLEMENTATION PLAN
Socio-economic|transformation for improved livelihoods Table 1: Unemployment Rates (%) 2005-2020 Table 2: Formal and Informal Employment (%) 2005-2021 Table 3: Access to Water and Sanitation (%), 2007-2018 Table 4: Key
Macroeconomic|Indicators, 2022-2026 Table 5: Estimate of Resources, 2022-2026 (K’000) Table 6: Central Government Non-Discretionary Expenditure, 2022-2026 EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Figure 1: The Change Process Envisioned in the Plan Figure 2: Real GDP Growth (%) vs Targeted Growth (2006-2021) Figure 3: Fiscal Deficit as a Percentage of GDP (2006-2021) Figure 4: Inflation, Exchange Rate and Lending Rates (2006-2021) Figure 5: Non-Traditional Exports and Traditional Exports (US$’ million) Figure 6: Gross International Reserves (US$’ million) Figure 7: Foreign Direct Investment Inflows (2006-2021) Figure 8: Selected Demographic Indicators 2007 - 2018 Figure 9: Population by Age and Sex, Zambia, 2021 Figure 10: Poverty Trends (%), 2006-2015 Figure 11:
Education|Indicators and Progression Rates, 2006-2020 Figure 12: Situating the 8NDP in the Vision 2030 Figure 13: Overall Institutional Arrangements for Coordination Figure 14: Diagrammatic Representation of the 8NDP Results Framework Figure 15: Alternative Sources of finance
Socio-economic|transformation for improved livelihoods ABBREVIATIONS AND ACRONYMS Seventh National Development Plan Eighth National Development Plan Cluster Advisory Group Coronavirus Disease 2019 Civil Society Organisation District Development Coordinating Committee Early Childhood
Education|Foreign Direct Investment Farmer Input Support Programme Fifth National Development Plan Gross Domestic Product Gross International Reserves Government of the Republic of Zambia Information and Communication Technology Infant Mortality Rate Integrated National Financing Framework Integrated National Registration Information System Key Performance Indicator Monitoring and Evaluation Maternal Mortality Ratio Management Monitoring System Ministry of Finance and National Planning Ministries, Provinces and Spending Agencies Micro, Small and Medium Enterprises Non Communicable Disease Nationally Determined Contributions National Development Coordinating Committee National Development Plan Office of the Auditor-General Provincial Development Coordinating Committee Public-Private Partnership EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Person with Disabilities Revised Sixth National Development Plan Southern African Development Community Sustainable Development Goals Special Drawing Rights Sixth National Development Plan State-Owned Enterprise Science, Technology, Engineering and Mathematics Technical
Education|, Vocational and Entrepreneurship Training Under-Five Mortality Rate Ward Development Committee Zambia Statistics Agency Zambia Demographic and
Health|Survey
Socio-economic|transformation for improved livelihoods PART I: DEVELOPMENT CONTEXT EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 The Eighth National Development Plan (8NDP) sets out Zambia’s strategic direction in terms of the development priorities and implementation strategies for the period 2022 to 2026. This Plan is a successor to the Seventh National Development Plan (7NDP) that was implemented over the period 2017 to 2021. this is the fourth in the series of national development plans (NDPs) towards the national Vision 2030 in which Zambians aspire to live in a prosperous middle-income country. As the penultimate plan, the 8NDP will play a pivotal role as a building block towards the attainment of the national vision. The Plan is a critical vehicle to support the attainment of Zambia’s international and regional commitments under various frameworks, including the last decade of action towards the realisation of the Sustainable Development Goals (SDGs) and delivery on the Africa We Want, espoused in the African Union Agenda 2063. Others are the Southern African Development Community (SADC) Regional Indicative Strategic Development Plan (RISDP) and the Common Market for Eastern and Southern Africa (COMESA) protocols. These frameworks have helped in the formulation of the 8NDP. The 8NDP takes cognisance of the country’s developmental context including the challenges and opportunities towards actualising the Vision 2030. Notably, the Plan has been formulated against the backdrop of a challenging economic situation exacerbated by the COVID-19 pandemic. The current state of development indicates persisting
socio-economic|challenges which include low diversification of the economy, high youth unemployment, high incidences of poverty and inequality, slow pace of decentralisation, as well as low
education|outcomes, coupled with inadequate access to other social services. To overcome these challenges and attain the Vision 2030, the 8NDP introduces strategic interventions anchored on Economic Transformation and Job Creation; Human and Social Development; Environmental Sustainability; and Good
Governance|Environment. The strategic development areas of the 8NDP were arrived at through a review of past performance and consultations with stakeholders in regard to the persistent development issues across different sectors of the economy, including their causes and key actions required to address them. By implementing the identified actions under the four strategic development areas, it is expected that the developmental bottlenecks will be addressed to enable the country attain its medium and long-term objectives. Under each strategic development area are identified
development outcome|s. These
development outcome|s are short to medium term results to be attained through the implementation of various strategies and programmes under each strategic development area. The change process envisioned in the Plan is shown in Figure 1. Figure 1: The Change Process Envisioned in the Plan Persisting Development Issues High Poverty and Inequalities Slow Pace of Decentralisation “A Prosperous Middle-Income Transformation for Improved Strategic Interventions Economic Transformation & Environmental Sustainability
Socio-economic|transformation for improved livelihoods Economic Transformation and Job Creation will be the key strategic development area of the Plan and aims at facilitating trade and increased investment by the private sector for higher production, value addition and diversification of goods and services. The key drivers for Economic Transformation and Job Creation will be the
agriculture|, mining, tourism, and manufacturing sectors, supported by strategic interventions in the
energy|, transport, and water development sectors. In addition, investments will be facilitated in information and communication technology (ICT) and science and technology to support digital transformation and innovation as key enablers under this strategic development area. Investment in skills development will also be key to the economic transformation and job creation agenda. All these interventions will contribute to the creation of decent jobs, particularly for the youth, whose unemployment levels are disproportionately higher. The other strategic development areas will ultimately support the country’s economic transformation agenda. To this end, investments will be made towards the creation of a skilled human capital reserve, coupled with interventions towards the eradication of poverty and inequality, as well as reduction of
socio-economic|disparities among the various regions in the country. The strategic development area on Environmental Sustainability will involve the mainstreaming of green interventions, including climate change adaptation and mitigation measures. Notable will be the development of climate resilient infrastructure across all sectors for sustainable development. The Government will also implement interventions that will provide a conducive and enabling
governance|environment for Economic Transformation and Job Creation. Building on the successes and lessons learnt from the implementation of the previous National Development Plans (NDP), and informed by the developmental challenges facing the country, the theme for the 8NDP is “
Socio-Economic|Transformation for Improved Livelihoods.” The overall aim is to improve the efficiency and competitiveness of the economy to sustainably lift the living standards of the people. The theme emphasises the need to build and get back on track towards the realisation of the Vision 2030 through economic recovery, stabilisation and steady growth, coupled with interventions in the social sectors to realise the
socio-economic|transformation that will ultimately uplift the livelihoods of the Zambian people. A key intervention to accelerate the attainment of the development objectives in the strategic development areas, will be the full implementation of decentralisation. This will result in the transfer of functions, fiscal and other resources as well as ownership and responsibility for decision-making from the central government to the local government level. 1.1 THE DEVELOPMENT APPROACH The 8NDP was formulated in line with the provisions of the National Planning and Budgeting Act No. 1 of 2020 and the National Planning and Budgeting Policy of 2014. The legal and policy framework provides for a coordinated and integrated national development planning and budgeting process that is participatory, responsive and results-oriented. Further, the Plan builds on the multi-sectoral integrated development planning approach introduced in the 7NDP. This approach goes beyond articulating sectoral and provincial interventions by ensuring that there is horizontal and vertical integration, as well as convergence in the execution of interventions across sectors. Further, this approach creates and enhances existing synergies among the different stakeholders and sectors, and increases the general effectiveness of programme budgeting, implementation and reporting. This approach also provides a framework for the domestication of international commitments. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 The formulation of the Plan used both the top-down and bottom-up approaches. On the one hand, the top-down approach entailed analysing the cause-effect of the country’s developmental challenges and opportunities through research and extensive consultations. It also involved the setting, by policymakers, of the strategic direction for the attainment of the country’s development aspirations as well as the implementation of regional and international commitments. On the other hand, the bottom-up approach involved the provision of input by the public and private sectors, civil society organisations, including the youth, women, the aged, persons with disabilities and ordinary citizens into the strategic direction provided by policymakers. The academia and research institutions as well as cooperating and development partners, also participated in the formulation of the 8NDP. The stakeholders made written submissions and were also engaged through in-person and virtual meetings, as well as roundtable discussions. This was done to achieve ownership of the Plan. 1.2 OUTLINE OF THE PLAN The Plan is structured in five parts as follows: Part I provides the development context by highlighting the past performance; Part II presents the
macroeconomic|framework and policy objectives on which the Plan is premised. Part III highlights what it will take to move towards the Vision 2030 and encompasses the strategic objectives of the 8NDP. Part IV presents the strategic development areas of the Plan. The implementation and coordination arrangements, including the monitoring and evaluation framework of the Plan, are discussed in Part V. Part VI presents the financing framework as well as the preconditions and
Socio-economic|transformation for improved livelihoods The scope of the past performance analysis covers the period 2006 to 2021, which incorporates the periods covered by the Fifth to the Seventh NDPs that were implemented towards the realisation of the Vision 2030. The reference period provides an opportunity to reflect on the progress made thus far, lessons learnt from the implementation of previous NDPs, and the emergent local, regional and global environment in which the country’s development trajectory is contextualised. The review of past performance highlights the achievements scored, and the challenges faced in the implementation of previous NDPs. Further, it provides the baseline upon which the objectives and strategies of the 8NDP are hinged. 2.2 ECONOMIC PERFORMANCE 2.2.1 Economic Growth In the Vision 2030, the Government’s objective is to attain and sustain an annual real economic growth rate of between 6 and 10 percent. During the period 2006 to 2010, annual real Gross Domestic Product (GDP) growth rate was favourable, averaging 8.7 percent, with the highest annual growth rate registered at 10.3 percent in 2010. Growth was mainly driven by the construction, transport, and mining sectors, spurred by increased investment in the mining sector (see Figure 2). Between 2011 and 2016, however, the economic growth rate slowed down, and averaged 4.9 percent. The growth was driven by ICT, wholesale and retail trade, as well as the construction sector. The ICT sector experienced significant structural growth due to the progressive migration from 2G to 4G technologies, and the resultant increased adoption rates, increased data usage, and wider signal penetration rates, especially in rural areas. Growth in wholesale and retail trade was mainly driven by increase in consumption, import and export of manufactured food products, as well as investment in retail outlets. The performance of the construction sector was mainly driven by increased public sector investment in infrastructure. During the period 2017-2021, growth declined further with the real growth rate averaging 1.4 percent largely due to unfavourable weather conditions which impacted the
agriculture|and
energy|sectors in the earlier years of the period. Another notable development was in 2020 when economic growth contracted by 2.8 percent, registering the first recession since 1998. This was mainly due to the effect of disruptions in supply chains and containment measures associated with the COVID-19 pandemic on sectors such as tourism, construction, wholesale and retail trade as well as manufacturing. The situation was compounded by the country’s worsening fiscal position resulting from increased borrowing on the domestic market which crowded out the private sector. In 2021, real GDP growth recovered to 3.6 percent, with the
agriculture|, manufacturing,
energy|, wholesale and retail trade as well as the ICT sectors driving growth. Mining output declined despite a pick-up in global economic activity and commodity prices. The average real GDP growth of 5.2 percent attained over the period 2006 to 2021, falls below the Vision 2030 target of between 6 to 10 percent. Growth will, therefore, have to be significantly higher over the next two Plan periods to attain the aspirations of the Vision 2030. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Figure 2: Real GDP Growth (%) vs Targeted Growth (2006-2021) Source: Ministry of Finance and National Planning 2.2.2. Fiscal Performance Over the period 2006 to 2021, fiscal performance was characterised by a deterioration in the overall deficit from the FNDP to the 7NDP period (see Figure 3). During the FNDP period (2006-2010), the overall fiscal deficits were below target between 2006 and 2008, while in 2009 and 2010 the deficits were above target. The fiscal deficit during the FNDP period averaged 2.2 percent. In the earlier years of the Plan, this was attained due to relatively favourable revenue performance and expenditure policy which focused on poverty reduction. In the latter years, fiscal operations were affected by the global financial crisis. Total domestic revenue collections during the FNDP period averaged 17.5 percent, broadly in line with the target of 17.7 percent of GDP. Expenditure averaged 23.1 percent of GDP, against an average target of 23.8 percent of During the Sixth National Development Plan (SNDP) period (2011-2016), fiscal policy was largely expansionary, with the Government increasing spending on infrastructure development, mainly roads and social infrastructure. In addition, public sector wages increased substantially, especially in 2013. Expenditure pressures also emanated from fuel subsidies, emergency power imports and increased debt service, following a pick-up in debt. Consequently, the fiscal deficit increased from 3.6 percent of GDP in 2011, reaching a high of 9.4 percent in 2015, before declining to 5.8 percent in 2016. Domestic revenue collections averaged 17.4 percent of GDP while expenditures averaged 25 percent of GDP. During the 7NDP period (2017-2021), the overall fiscal deficit remained elevated, averaging 9.6 percent of GDP. The deficit was recorded at 7.8 percent of GDP in 2017 and rose to a peak of 14.4 percent in 2020. Estimates indicate a deficit of 9.0 percent of GDP in 2021. The high deficit was largely on account of expenditure pressures from higher than programmed expenditure on the Farmer Input Support Programme (FISP) and capital project financing. Higher than programmed interest payments on foreign debt also contributed to the high fiscal deficit.
Socio-economic|transformation for improved livelihoods Source: Ministry of Finance and National Planning In tandem with the increase in the fiscal deficit, the debt position of the country increased substantially over the review period. As a proportion of GDP, the public debt stock (domestic and external) significantly increased from 22 percent in 2006 to 119 percent in 2021. The stock of domestic debt (government securities and bonds) increased to K193.00 billion by the end of 2021 from K6.24 billion in 2006. The rapid increase in the debt stock over the period reflected increasing recourse to domestic borrowing as external financing sources reduced. In addition, there was a sharp rise in domestic arrears, excluding fuel and electricity, which more than doubled to K45.5 billion at the end of September 2021 from K20.92 billion at the close of 2017. The pending bills were owed to road contractors, suppliers of goods and services, value-added tax (VAT) refunds and personnel-related emoluments for public service workers. On the external side, the debt stock increased from US$961 million in 2006 to US$1.1 billion at the end of 2010. The stock of external debt increased substantially from 2012, following the issuance of Eurobonds in 2012, 2014 and 2015. Consequently, the external debt stock reached US$6.94 billion at the close of 2016. The stock increased further to US$13.04 billion at the end of 2021. In addition, the Government had guaranteed external borrowing amounting to US$1.53 billion, mostly for power projects in the
energy|sector. These developments in external debt constrained the country’s ability to meet its external sector obligations, and in October 2020, a decision was made to withhold debt service payments, except to multilateral institutions, pending restructuring of the country’s external debt. The restructuring exercise will be a key precursor to the successful implementation of the Plan. To maintain debt within sustainable levels, the Government will continue to engage its creditors to ensure effective dialogue on outstanding debt and will undertake periodic Debt Sustainability Analyses. Figure 3: Fiscal Deficit as a Percentage of GDP (2006-2021) EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 2.2.4. Monetary and Financial Sector Performance During the period 2006 to 2021, inflation averaged 11.0 percent (see Figure 4). However, this outturn was higher than the single-digit inflation envisaged in the Vision 2030. During the 7NDP period, inflationary pressures increased, and inflation averaged 12.0 percent, up from 9.2 percent during the SNDP period. The rise in inflation was on account of increased food prices arising from the adverse impact of erratic rainfall on agricultural output and the pass-through effect from the depreciation of the Kwacha. High food prices that characterised the review period were a reflection of structural bottlenecks in the
agriculture|sector, particularly the high dependence on rainfall, which tends to adversely impact crop production during periods The Kwacha depreciated against the United States (US) dollar over the period 2006 to 2021. Between 2006 and 2010, the exchange rate averaged K4.24 per US dollar and depreciated to an average of K6.75 over the period 2011-2016. During the 7NDP period, the Kwacha further depreciated to an average of K14.00 per US dollar. The economy’s dependence on limited sources of foreign exchange earnings, imports for both production and consumption goods, as well as a reduction in foreign exchange earnings on account of lower copper prices, amidst elevated external debt service, largely explained the sustained depreciation of the Kwacha. Going forward, therefore, policies will be put in place to diversify foreign exchange sources and increase earnings. As in previous NDPs, lending rates remained high during the 7NDP period. High yield rates on Government securities due to increased domestic borrowing, kept lending rates elevated at an average of 26.0 percent. The resultant high lending rates crowded out the private sector from the credit market, thereby constraining its productive capacity, job creation capabilities and development in general. The relatively high inflation during the review period also contributed to elevated lending rates. This outturn undermined the attainment of the Vision 2030 aspiration of improved access to affordable credit to support private sector growth. In this regard, reducing Government domestic borrowing will be one of the critical policy measures to free up resources for private sector credit and contribute to a reduction in lending rates. In addition, creating a stable
macroeconomic|environment reflected in low inflation will help in reducing lending rates to affordable levels. Figure 4: Inflation, Exchange Rate and Lending Rates (2006-2021) Source: Bank of Zambia, Zambia Statistics Agency
