project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P507116|First Zambia Climate and Economic Resilience Programmatic DPF with Cat-DDO|Active|0.0|2024-12-18 00:00:00+00:00|2027-12-31|Unknown|Unknown|||Republic of Zambia||World Bank
P503941|Zambia Refugee and Host Communities Project - ZRHCP|Active|0.0|2024-09-26 00:00:00+00:00|2028-10-31|Unknown|Unknown|||Republic of Zambia||World Bank
P181711|Second Additional Financing for Scaling-up Shock Responsive Social Protection Project|Active|207.6|2024-07-01 00:00:00+00:00||Unknown|Unknown|||Republic of Zambia||World Bank
P505188|Zambia Health Emergency Preparedness, Response and Resilience Project Using the Multiphase Programmatic Approach|Active|50.0|2024-06-13 00:00:00+00:00|2029-06-30|Unknown|Unknown|||Republic of Zambia||World Bank
P181391|Girls' Education and Women's Empowerment and Livelihoods for Human Capital Project|Active|157.0|2024-03-28 00:00:00+00:00|2028-06-30|Unknown|Unknown|||Republic of Zambia||World Bank
P179380|National Energy Advancement and Transformation Program|Active|100.0|2024-03-14 00:00:00+00:00|2026-12-30|Unknown|Unknown|||Republic of Zambia||World Bank
P180801|Transport Corridors for Economic Resilience (TRACER)|Active|270.0|2024-02-20 00:00:00+00:00|2030-02-27|Rural and Inter-Urban Roads; Trade; ICT Services; Public Administration - Transportation; Other Transportation|Unknown|||Republic of Zambia||World Bank
P181011|Zambia Second Macroeconomic Stability, Growth and Competitiveness DPF|Active|125.0|2023-12-21 00:00:00+00:00|2026-01-15|Banking Institutions; Other Energy and Extractives; Agricultural Extension, Research, and Other Support Activities; Other Industry, Trade and Services; Central Government (Central Agencies)|Environment and Natural Resource Management; Urban and Rural Development; Public Sector Management; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P179507|Zambia Agribusiness and Trade Project-II (ZATP-II)|Active|170.0|2023-06-16 00:00:00+00:00|2028-12-15|Public Administration - Industry, Trade and Services; Agricultural markets, commercialization and agri-business|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P180337|Green, Resilient and Transformational Tourism Development Project (GREAT-TDP)|Active|100.0|2023-06-09 00:00:00+00:00|2030-12-31|Public Administration - Industry, Trade and Services; Tourism|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P180401|Zambia Education Enhancement Project Second Additional Financing|Active|53.0|2023-03-09 00:00:00+00:00||Secondary Education|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender|||Republic of Zambia||World Bank
P174911|Zambia First Macroeconomic Stability, Growth and Competitiveness DPF|Closed|275.0|2022-10-25 00:00:00+00:00|2023-12-31|Banking Institutions; Other Energy and Extractives; Oil and Gas; Agricultural Extension, Research, and Other Support Activities; Central Government (Central Agencies)|Environment and Natural Resource Management; Urban and Rural Development; Public Sector Management; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P178372|Zambia Growth Opportunities Program|Active|300.0|2022-07-15 00:00:00+00:00|2026-12-31|Public Administration - Agriculture, Fishing & Forestry; Agricultural markets, commercialization and agri-business; Irrigation and Drainage; Agricultural Extension, Research, and Other Support Activities; Other Agriculture, Fishing and Forestry|Environment and Natural Resource Management; Urban and Rural Development; Human Development and Gender; Finance; Private Sector Development|||Republic of Zambia||World Bank
