curr_total_commitment,curr_ibrd_commitment,curr_ida_commitment,id,regionname,countryname,prodline,lendinginstr,lendinginstrtype,projectstatusdisplay,project_name,board_approval_month,totalamt,countrycode,countryshortname,p2a_updated_date,theme1,totalcommamt,approvalfy,source,mjthemecode,teamleadname,boardapprovaldate,closingdate,url,proj_and_ln_country,mjtheme_namecode,p2a_flag,prodlinetext,idacommamt,ibrdcommamt,lendprojectcost,status,productlinetype,projectdocs,sector1.Name,sector1.Percent,country_namecode,supplementprojectflg,borrower,impagency,ln_country_id,ln_country_id_desc,grantamt,sector,sectorcode,sector_namecode,mjsector_namecode,sector2.Name,sector2.Percent,sector3.Name,sector3.Percent,theme_list,envassesmentcategorycode,theme2,themecode,theme_namecode,theme3,theme4
0,0,0,P507116,Eastern and Southern Africa,['Republic of Zambia'],PE,Development Policy Lending,AD,Active,First Zambia Climate and Economic Resilience Programmatic DPF with Cat-DDO,December,0,['ZM'],Zambia,2024-12-20 00:00:00.0,!$!0,0,2025,['IBRD'],2,"Albert Pijuan Sala,Ignacio M. Urrutia Duarte,Jorge Fernando Tudela Pye",2024-12-18T00:00:00Z,12/31/2027 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P507116,['ZM'],"[{'name': '', 'code': '2'}]",Y,IBRD/IDA,0,0,0,Active,L,[],,0,,,,,,,,,,,,,,,,,,,,,,
0,0,0,P503941,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,Zambia Refugee and Host Communities Project - ZRHCP,September,0,['ZM'],Zambia,2024-09-29 00:00:00.0,!$!0,0,2025,['IBRD'],11,"Njavwa Namposya Chilufya,Tanya Lynn D'Lima",2024-09-26T00:00:00Z,10/31/2028 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P503941,['ZM'],"[{'name': '', 'code': '11'}]",Y,IBRD/IDA,0,0,0,Active,L,[],,0,0!$!ZM,,,,,,,,,,,,,,,,,,,,,
207.6,0,200,P181711,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,Second Additional Financing for Scaling-up Shock Responsive Social Protection Project,July,"200,000,000",['ZM'],Zambia,2024-07-08 00:00:00.0,!$!0,"207,600,000",2024,['IBRD'],1,"Nadia Selim,Lansong Zhang",2024-07-01T00:00:00Z,,https://projects.worldbank.org/en/projects-operations/project-detail/P181711,['ZM'],"[{'name': '', 'code': '1'}]",Y,IBRD/IDA,"200,000,000",0,"200,000,000",Active,L,[],,0,207600000!$!ZM,Y,Republic of Zambia,Ministry of Community Development and Social Services (MCDSS),['ZM'],['Zambia'],"7,600,000",,,,,,,,,,,,,,,
50,0,50,P505188,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,"Zambia Health Emergency Preparedness, Response and Resilience Project Using the Multiphase Programmatic Approach",June,"50,000,000",['ZM'],Zambia,2024-06-14 00:00:00.0,!$!0,"50,000,000",2024,['IBRD'],11,"Moustafa Mohamed ElSayed Mohamed Abdalla,John Bosco Makumba",2024-06-13T00:00:00Z,6/30/2029 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P505188,['ZM'],"[{'name': '', 'code': '11'}]",Y,IBRD/IDA,"50,000,000",0,"50,000,000",Active,L,[],,0,0!$!ZM,,,,,,,,,,,,,,,,,,,,,
157,0,150,P181391,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,Girls' Education and Women's Empowerment and Livelihoods for Human Capital Project,March,"150,000,000",['ZM'],Zambia,2024-04-04 00:00:00.0,!$!0,"157,000,000",2024,['IBRD'],9,"Nadia Selim,Lansong Zhang",2024-03-28T00:00:00Z,6/30/2028 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P181391,['ZM'],"[{'name': '', 'code': '9'}]",Y,IBRD/IDA,"150,000,000",0,"150,000,000",Active,L,[],,0,157000000!$!ZM,N,Republic of Zambia,"Ministry of Education, Ministry of Health, Ministry of Community Development and Social Services, Gender Division under the Office of the President",,,"7,000,000",,,,,,,,,,,,,,,
100,0,100,P179380,Eastern and Southern Africa,['Republic of Zambia'],PE,Program-for-Results Financing,PR,Active,National Energy Advancement and Transformation Program,March,"100,000,000",['ZM'],Zambia,2024-03-18 00:00:00.0,!$!0,"100,000,000",2024,['IBRD'],10,"Patrick Thaddayos Balla,Francis Chibwe,Monali Ranade",2024-03-14T00:00:00Z,12/30/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P179380,['ZM'],"[{'name': '', 'code': '10'}]",Y,IBRD/IDA,"100,000,000",0,"200,000,000",Active,L,[],,0,80000000!$!ZM,N,Ministry of Finance,"ZESCO, Rural Electrification Authority",,,,,,,,,,,,,,,,,,
270,0,270,P180801,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,Transport Corridors for Economic Resilience (TRACER),February,"270,000,000",['ZM'],Zambia,2024-03-18 00:00:00.0,!$!0,"270,000,000",2024,['IBRD'],3,"Aymen Ahmed Osman Ali,Moustafa Baher El-Hefnawy",2024-02-20T00:00:00Z,2/27/2030 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P180801,['ZM'],"[{'name': '', 'code': '3'}]",Y,IBRD/IDA,"270,000,000",0,0,Active,L,[],Other Transportation,8,270000000!$!ZM,N,The Republic of Zambia,The National Road Fund Agency (NRFA),,,,"[{'Name': 'Rural and Inter-Urban Roads'}, {'Name': 'Trade'}, {'Name': 'ICT Services'}, {'Name': 'Public Administration - Transportation'}, {'Name': 'Other Transportation'}]","['TZ', 'TF', 'CS', 'YY', 'TI']","[{'name': 'Rural and Inter-Urban Roads', 'code': 'TI'}, {'name': 'Trade', 'code': 'YY'}, {'name': 'ICT Services', 'code': 'CS'}, {'name': 'Public Administration - Transportation', 'code': 'TF'}, {'name': 'Other Transportation', 'code': 'TZ'}]","[{'name': 'Transportation', 'code': 'TX'}, {'name': 'Industry, Trade and Services', 'code': 'YX'}, {'name': 'Information and Communications Technologies', 'code': 'CX'}, {'name': 'Transportation', 'code': 'TX'}, {'name': 'Transportation', 'code': 'TX'}]",Public Administration - Transportation,6.0,ICT Services,33.0,,,,,,,
125,0,125,P181011,Eastern and Southern Africa,['Republic of Zambia'],PE,Development Policy Lending,AD,Active,"Zambia Second Macroeconomic Stability, Growth and Competitiveness DPF",December,"125,000,000",['ZM'],Zambia,2023-12-25 00:00:00.0,!$!0,"125,000,000",2024,['IBRD'],6,Albert Pijuan Sala,2023-12-21T00:00:00Z,1/15/2026 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P181011,['ZM'],"[{'name': '', 'code': '6'}]",Y,IBRD/IDA,"125,000,000",0,"125,000,000",Active,L,[],Central Government (Central Agencies),29,0!$!ZM,N,Republic of Zambia,Ministry of Finance and National Planning,,,,"[{'Name': 'Banking Institutions'}, {'Name': 'Other Energy and Extractives'}, {'Name': 'Agricultural Extension, Research, and Other Support Activities'}, {'Name': 'Other Industry, Trade and Services'}, {'Name': 'Central Government (Central Agencies)'}]","['BC', 'YZ', 'AB', 'LZ', 'FA']","[{'name': 'Banking Institutions', 'code': 'FA'}, {'name': 'Other Energy and Extractives', 'code': 'LZ'}, {'name': 'Agricultural Extension, Research, and Other Support Activities', 'code': 'AB'}, {'name': 'Other Industry, Trade and Services', 'code': 'YZ'}, {'name': 'Central Government (Central Agencies)', 'code': 'BC'}]","[{'name': 'Financial Sector', 'code': 'FX'}, {'name': 'Energy and Extractives', 'code': 'LX'}, {'name': 'Agriculture, Fishing and Forestry', 'code': 'AX'}, {'name': 'Industry, Trade and Services', 'code': 'YX'}, {'name': 'Public Administration', 'code': 'BX'}]","Other Industry, Trade and Services",29.0,"Agricultural Extension, Research, and Other Support Activities",14.0,"[{'name': 'Environment and Natural Resource Management', 'code': '80', 'seqno': '1', 'percent': '0', 'theme2': [{'name': 'Energy', 'code': '86', 'seqno': '2', 'percent': '0', 'theme3': [{'name': 'Energy Policies & Reform', 'code': '862', 'seqno': '3', 'percent': '0'}]}]}, {'name': 'Urban and Rural Development', 'code': '70', 'seqno': '1', 'percent': '0'}, {'name': 'Public Sector Management', 'code': '40', 'seqno': '1', 'percent': '0', 'theme2': [{'name': 'Public Finance Management', 'code': '41', 'seqno': '2', 'percent': '0', 'theme3': [{'name': 'Debt Management', 'code': '413', 'seqno': '3', 'percent': '0'}, {'name': 'Public Expenditure Management', 'code': '411', 'seqno': '3', 'percent': '0'}]}]}, {'name': 'Finance', 'code': '30', 'seqno': '1', 'percent': '0', 'theme2': [{'name': 'Finance for Development', 'code': '33', 'seqno': '2', 'percent': '0', 'theme3': [{'name': 'Agriculture Finance', 'code': '332', 'seqno': '3', 'percent': '0'}]}, {'name': 'Financial Infrastructure and Access', 'code': '32', 'seqno': '2', 'percent': '0'}, {'name': 'Financial Stability', 'code': '31', 'seqno': '2', 'percent': '0', 'theme3': [{'name': 'Financial Sector oversight and policy/banking regulation & restructuring', 'code': '311', 'seqno': '3', 'percent': '0'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '0', 'theme2': [{'name': 'Public Private Partnerships', 'code': '23', 'seqno': '2', 'percent': '0'}, {'name': 'Business Enabling Environment', 'code': '21', 'seqno': '2', 'percent': '0', 'theme3': [{'name': 'Investment and Business Climate', 'code': '211', 'seqno': '3', 'percent': '0'}]}]}, {'name': 'Economic Policy', 'code': '10', 'seqno': '1', 'percent': '0', 'theme2': [{'name': 'Macro-financial policies', 'code': '12', 'seqno': '2', 'percent': '0'}, {'name': 'Fiscal Policy', 'code': '11', 'seqno': '2', 'percent': '0'}]}]",,,,,,
170,0,170,P179507,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,Zambia Agribusiness and Trade Project-II (ZATP-II),June,"170,000,000",['ZM'],Zambia,2023-06-19 00:00:00.0,!$!0,"170,000,000",2023,['IBRD'],2,"Blerta Qerimi,Ankur Huria,Silvia Mauri",2023-06-16T00:00:00Z,12/15/2028 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P179507,['ZM'],"[{'name': '', 'code': '2'}]",Y,IBRD/IDA,"170,000,000",0,"100,000,000",Active,L,[],"Agricultural markets, commercialization and agri-business",99,170000000!$!ZM,N,Republic of Zambia,"Ministry of Commerce, Trade and Industry",,,,"[{'Name': 'Public Administration - Industry, Trade and Services'}, {'Name': 'Agricultural markets, commercialization and agri-business'}]","['YA', 'YF']","[{'name': 'Public Administration - Industry, Trade and Services', 'code': 'YF'}, {'name': 'Agricultural markets, commercialization and agri-business', 'code': 'YA'}]","[{'name': 'Industry, Trade and Services', 'code': 'YX'}, {'name': 'Industry, Trade and Services', 'code': 'YX'}]","Public Administration - Industry, Trade and Services",1.0,,,"[{'name': 'Environment and Natural Resource Management', 'code': '80', 'seqno': '13', 'percent': '11', 'theme2': [{'name': 'Climate change', 'code': '81', 'seqno': '14', 'percent': '11', 'theme3': [{'name': 'Adaptation', 'code': '812', 'seqno': '24', 'percent': '6'}, {'name': 'Mitigation', 'code': '811', 'seqno': '23', 'percent': '5'}]}]}, {'name': 'Urban and Rural Development', 'code': '70', 'seqno': '11', 'percent': '68', 'theme2': [{'name': 'Rural Development', 'code': '72', 'seqno': '12', 'percent': '68', 'theme3': [{'name': 'Rural Markets', 'code': '721', 'seqno': '22', 'percent': '68'}]}]}, {'name': 'Human Development and Gender', 'code': '60', 'seqno': '9', 'percent': '38', 'theme2': [{'name': 'Gender', 'code': '61', 'seqno': '10', 'percent': '38'}]}, {'name': 'Finance', 'code': '30', 'seqno': '7', 'percent': '56', 'theme2': [{'name': 'Finance for Development', 'code': '33', 'seqno': '8', 'percent': '56', 'theme3': [{'name': 'Agriculture Finance', 'code': '332', 'seqno': '21', 'percent': '56'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '3', 'percent': '40', 'theme2': [{'name': 'ICT', 'code': '26', 'seqno': '6', 'percent': '20', 'theme3': [{'name': 'ICT Solutions', 'code': '261', 'seqno': '20', 'percent': '20'}]}, {'name': 'Enterprise Development', 'code': '24', 'seqno': '5', 'percent': '20', 'theme3': [{'name': 'MSME Development', 'code': '243', 'seqno': '19', 'percent': '20'}, {'name': 'Entrepreneurship', 'code': '241', 'seqno': '18', 'percent': '20'}]}, {'name': 'Business Enabling Environment', 'code': '21', 'seqno': '4', 'percent': '40', 'theme3': [{'name': 'Regulation and Competition Policy', 'code': '212', 'seqno': '17', 'percent': '40'}, {'name': 'Investment and Business Climate', 'code': '211', 'seqno': '16', 'percent': '40'}]}]}, {'name': 'Economic Policy', 'code': '10', 'seqno': '1', 'percent': '40', 'theme2': [{'name': 'Trade', 'code': '14', 'seqno': '2', 'percent': '40', 'theme3': [{'name': 'Trade Facilitation', 'code': '141', 'seqno': '15', 'percent': '40'}]}]}]",,,,,,
100,0,100,P180337,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Active,"Green, Resilient and Transformational Tourism Development Project (GREAT-TDP)",June,"100,000,000",['ZM'],Zambia,2023-06-14 00:00:00.0,!$!0,"100,000,000",2023,['IBRD'],1,"Njavwa Namposya Chilufya,Aymen Ahmed Osman Ali,Elisson M. Wright,Ngao Mubanga",2023-06-09T00:00:00Z,12/31/2030 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P180337,['ZM'],"[{'name': '', 'code': '1'}]",Y,IBRD/IDA,"100,000,000",0,"100,000,000",Active,L,[],Tourism,91,100000000!$!ZM,N,REPUBLIC OF ZAMBIA,Ministry of Tourism,,,,"[{'Name': 'Public Administration - Industry, Trade and Services'}, {'Name': 'Tourism'}]","['YT', 'YF']","[{'name': 'Public Administration - Industry, Trade and Services', 'code': 'YF'}, {'name': 'Tourism', 'code': 'YT'}]","[{'name': 'Industry, Trade and Services', 'code': 'YX'}, {'name': 'Industry, Trade and Services', 'code': 'YX'}]","Public Administration - Industry, Trade and Services",9.0,,,"[{'name': 'Environment and Natural Resource Management', 'code': '80', 'seqno': '11', 'percent': '16', 'theme2': [{'name': 'Renewable Natural Resources Asset Management', 'code': '83', 'seqno': '13', 'percent': '11', 'theme3': [{'name': 'Biodiversity', 'code': '834', 'seqno': '20', 'percent': '11'}, {'name': 'Landscape Management', 'code': '835', 'seqno': '21', 'percent': '11'}]}, {'name': 'Climate change', 'code': '81', 'seqno': '12', 'percent': '16', 'theme3': [{'name': 'Mitigation', 'code': '811', 'seqno': '18', 'percent': '7'}, {'name': 'Adaptation', 'code': '812', 'seqno': '19', 'percent': '9'}]}]}, {'name': 'Urban and Rural Development', 'code': '70', 'seqno': '7', 'percent': '100', 'theme2': [{'name': 'Disaster Risk Management', 'code': '75', 'seqno': '10', 'percent': '87', 'theme3': [{'name': 'Flood and Drought Risk Management', 'code': '754', 'seqno': '17', 'percent': '87'}]}, {'name': 'Cultural Heritage', 'code': '73', 'seqno': '9', 'percent': '11'}, {'name': 'Rural Development', 'code': '72', 'seqno': '8', 'percent': '100', 'theme3': [{'name': 'Rural Infrastructure and service delivery', 'code': '723', 'seqno': '16', 'percent': '87'}, {'name': 'Rural Non-farm Income Generation', 'code': '722', 'seqno': '15', 'percent': '100'}]}]}, {'name': 'Human Development and Gender', 'code': '60', 'seqno': '5', 'percent': '15', 'theme2': [{'name': 'Gender', 'code': '61', 'seqno': '6', 'percent': '15'}]}, {'name': 'Public Sector Management', 'code': '40', 'seqno': '3', 'percent': '13', 'theme2': [{'name': 'Data Development and Capacity Building', 'code': '44', 'seqno': '4', 'percent': '13', 'theme3': [{'name': 'Data production, accessibility and use', 'code': '441', 'seqno': '14', 'percent': '13'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '11', 'theme2': [{'name': 'Public Private Partnerships', 'code': '23', 'seqno': '2', 'percent': '11'}]}]",,,,,,
