sector,description
Why invest in Zambia?,
Investment Opportunities,"The Zambian Government is committed to diversifying the economy away from the mining sector while increasing the number of Public Private Partnerships (PPPs), improving the country’s infrastructure and public sector delivery. The PPP Act was enforced in August 2009 under which the Government also encourages and accepts unsolicited bids from investors in any area of investment in all aspects of the economy. In addition, the Government seeks strategic partners in various projects in ICT, telecommunications, roads and rail, power generation, tourism, waste management and water supply. "
Mining,"The Zambian Government is committed to diversifying the economy away from the mining sector while increasing the number of Public Private Partnerships (PPPs), improving the country’s infrastructure and public sector delivery. The PPP Act was enforced in August 2009 under which the Government also encourages and accepts unsolicited bids from investors in any area of investment in all aspects of the economy. In addition, the Government seeks strategic partners in various projects in ICT, telecommunications, roads and rail, power generation, tourism, waste management and water supply. "
Agriculture,"Zambia has 752,000 square kilometres of land mass, 58 percent which is arable. Currently, however, on 14 percent of the arable land is under cultivation indicating the potential for further development in this area. New farming blocks have been opened in order to attract in both local and international investors to use already surveyed land for cultivation and agro-business. Among the non-traditional crops with potential which have also been prioritised for investments include cotton, coffee, tobacco, sugarcanes, pineapples, cashnuts, cassava, and other horticultural and floricultural crops. There are opportunities to engage in agro-processing and move-up the value chain. Agriculture is predominately rain fed and therefore, the sector’s performance is most determined by rain pattern. The irrigation potential is estimated at 430,000 hectares of which only 100,000 is currently developed. With an estimated 45 percent of the total water resources in Southern Africa, Zambia has massive irrigation farming potential."
Agro Processing,"Government realizes that agriculture alone is not enough to bring about meaningful development to the Zambian people and therefore recognizes the need to diversify from primary agriculture into agro processing. The agro processing sector in Zambia generally is one of the most important sectors that have experienced unprecedented growth in terms of production and export performance in recent years. This has been closely attributed to huge investment inflows in the various value chains as well as the enabling business environment.  Agro processing investment opportunities in Zambia include, but are not limited to the following:"
Energy,"Zambia’s energy sources include; electricity, petroleum, coal, biomass, and renewable energy. It is only petroleum which is wholly imported in the country, while the country is basically self-sufficient in all the other energy resources. The demand for the most important energy source, electricity, in the country has been growing at an average of about 3 percent per annum mainly due to the increased economic activity in the country and the region. Investment opportunities in the energy sector in include: electricity generation, petroleum, coal, and renewable energies."
Electricity,"Hydro power is the most important energy source in the country after wood fuel contributing about 10 percent to the national energy supply and is generated by three major hydroelectric power stations. It is estimated that Zambia has about 40 percent of the water resources in the Southern African Development Community, thereby enabling the country to have about 6,000 MW of hydropower potential. Of this, only about 2, 434.3 MW has been installed but the demand for electricity has continued to grow rapidly. Zambia and the SADC region has been facing power deficit since 2007 and 73 power generation projects are required to increase generation from the current 56,000 MW and surpass projected demand of 96,000MW by 2027. Investment Opportunities in the power sector include:"
Petroleum,"Petroleum contributes about nine (9) percent to Zambia’s total energy requirements. There has been a significant increase in the consumption of petroleum products in the recent years. For instance, the national consumption of diesel grew from an average 1,500,000 litres per day in 2007 to about 2,700,000 in 2015.The current demand for petroleum products in the country is around 231 million litres per month. Investment opportunities exist in the petroleum industry, which include upstream and downstream petroleum projects. Recent exploration work for petroleum covering parts of North-Western, Western and Eastern Provinces of Zambia, using the Microbial Prospecting for Oil and Gas technique, have indicated that the Okavango and North Luangwa basins have potential for oil and gas. Government has tendered the oil blocks for oil and gas prospecting. The Downstream petroleum sector in Zambia has a deficit in bulk storage of petroleum products. In order to address this situation, the government is looking towards engaging a strategic partner to construct a 50 million litres Petroleum Terminal in Lusaka, the capital City of Zambia, on a Build Operate and Transfer (BOT) basis. To sustain its economic growth, Zambia needs to upgrade its infrastructure. To this effect, Government’s focus is on construction, rehabilitation and maintenance of physical infrastructure in the following areas: roads and bridges, railways, airports and aerodromes and maritime and inland waterways."
Airports,"The country recently adopted an “open sky policy” and is currently promoting the establishment of an air cargo hub for the Southern African region. In this regard, the Government has embarked on a program to improve the infrastructure at all the international airports in collaboration with the private sector. This has therefore provided investment opportunities in the following areas:"
Roads,"The Government of Zambia embarked on the Link Zambia 8,000 project (Accelerated National Roads Construction Programme) aimed at rehabilitating and constructing the road network linking Zambia to Angola, Botswana, Democratic Republic of Congo, Malawi, Mozambique, Namibia, Tanzania and Zimbabwe. This priority government project envisions building 8000 km of quality single and dual lane roads throughout the country. The Link Zambia 8000 Project is expected to last at least five – eight years, starting 2013, and is estimated to cost over $5 billion. The government has proposed private sector companies to consider undertaking the construction of key toll roads which will carry the bulk of commercial traffic and could be built and operated on a sustainable revenue model. These priority toll routes comprise the backbone of Zambia’s national road network including:"
Railways,The Government intends to expand its railway network in the country to bolster the surface transport sector. The development of rail routes linking important exit points is not only vital for facilitating smooth access to the outside world but also for the overall boosting of trade in the sub-region and making Zambia a competitive country for doing business. Government is seeking private sector participation in the development and rehabilitation of the railway infrastructure. Some of the opportunities include the following:
Manufacturing sector,"The manufacturing sector in Zambia accounts for about 7.7% of the country’s Gross Domestic Product (GDP) and has been growing at an average annual growth rate of 3% in the last five years (since 2011). Growth in the sector is largely driven by the agro processing (food and beverages), textiles and leather subsectors. Secondary processing of metals is another main activity in the sector, including the smelting and refining of copper and related metal products. Production of fertilizers, chemicals, explosives and construction materials, wood and paper products are examples of activities in this sector. Given that the manufacturing sector is of vital importance to the country’s economic growth, the Zambian government has put in place measures to support manufacturing activities, such as the establishment of Multi-Facility Economic Zones (MFEZs) and Industrial Parks and provision of sector-specific investment incentives. The priority areas for investment in the manufacturing sector include; food processing, textiles and clothing, mineral processing, chemical products, engineering, leathering, electronics, pharmaceuticals and packaging products."
